date,debt,loan,job,unemployment,economics,inflation,sell,bonds,gold,stocks,dow jones,crisis,finance,risk,leverage
2020-01-01,43,55,50,39,19,51,84,44,88,54,20,26,41,40,40
2020-01-02,69,96,77,71,34,69,92,59,88,98,65,32,85,70,51
2020-01-03,78,100,83,66,32,74,88,62,90,100,93,32,98,68,50
2020-01-04,56,79,66,35,32,65,97,47,100,78,16,34,47,49,24
2020-01-05,53,67,62,74,33,57,91,44,93,68,5,29,34,51,44
2020-01-06,73,91,92,100,53,61,91,65,94,80,70,47,89,76,68
2020-01-07,86,92,100,84,70,68,89,82,90,85,72,49,93,84,93
2020-01-08,84,86,93,68,66,64,81,80,91,96,87,47,92,86,83
2020-01-09,84,90,97,65,72,64,88,80,90,92,75,39,89,91,55
2020-01-10,79,97,89,58,63,65,85,72,88,95,80,37,92,84,89
2020-01-11,59,69,66,37,28,52,100,56,98,59,14,26,50,50,41
2020-01-12,51,59,60,75,40,55,91,58,93,60,5,27,35,48,34
2020-01-13,83,91,91,95,89,66,87,80,86,90,67,44,87,80,66
2020-01-14,87,95,94,77,78,79,82,88,84,93,69,46,87,89,73
2020-01-15,90,96,97,67,92,100,80,91,85,91,82,100,98,88,60
2020-01-16,92,93,95,62,86,76,80,90,87,98,80,63,97,96,100
2020-01-17,82,88,81,63,65,66,78,92,86,96,80,49,92,82,54
2020-01-18,65,71,70,39,38,62,96,53,98,70,16,37,46,59,65
2020-01-19,55,63,60,64,34,57,90,60,90,57,6,38,33,56,68
2020-01-20,60,82,81,87,49,62,90,53,92,59,33,39,58,77,72
2020-01-21,81,91,94,93,89,73,83,100,84,89,70,44,96,84,54
2020-01-22,89,90,97,79,87,71,87,99,82,95,74,35,95,97,81
2020-01-23,86,90,96,65,94,78,82,100,82,89,71,38,86,97,62
2020-01-24,95,96,88,63,77,78,83,89,84,92,71,35,93,96,78
2020-01-25,65,80,68,34,35,70,94,60,100,53,15,27,44,59,69
2020-01-26,56,64,58,72,40,64,91,70,83,57,7,26,34,55,54
2020-01-27,80,89,84,89,89,82,81,94,83,89,81,36,89,93,63
