Index,claims.sa,claims.nsa,Jobs,Welfare...Unemployment
2004/01/10,354000,677897,6.06686228044856,-7.57415249197442
2004/01/17,362000,490763,-3.55877323692429,-25.2378856703186
2004/01/24,353000,382262,-6.1844087085386,-17.4016189094181
2004/01/31,376000,406298,-7.93504418361625,-18.8153521234654
2004/02/07,380000,433234,-13.3106795812006,-24.1040853930686
2004/02/14,356000,341634,-10.8125365383849,-19.4090962809352
2004/02/21,359000,328171,-7.5643933661142,-15.0891071286019
2004/02/28,348000,342140,-6.06625028239856,-19.2691180565821
2004/03/06,344000,339007,-4.44310715548376,-15.1991289378494
2004/03/13,338000,312067,-14.9409985807231,-27.0091931721575
2004/03/20,346000,304462,-11.9388901164671,-18.4442573885625
2004/03/27,340000,296776,-15.9367816718679,-27.2543216766108
2004/04/03,335000,304249,-6.43467312846403,-17.314385833469
2004/04/10,355000,350739,-8.5550512139116,-19.8994882182636
2004/04/17,364000,334965,-3.5504292452533,-17.2345905820009
2004/04/24,339000,313686,-7.67080737395582,-23.9446929798771
2004/05/01,324000,283236,-5.79118545940338,-16.4047953596459
2004/05/08,329000,292754,-7.41051904783312,-16.9566665257633
2004/05/15,349000,297061,-7.6548526316709,-17.8835376760474
2004/05/22,342000,293974,-10.3991862155337,-17.6854088276519
2004/05/29,337000,304067,-7.89351977323274,-18.1122799850258
2004/06/05,355000,308229,-9.8842784882071,-12.4533115099683
2004/06/12,339000,313930,-6.62503721357998,-13.7943430702832
2004/06/19,354000,322481,-9.74079587604728,-11.1353745651827
2004/06/26,348000,318746,-9.98155457742545,-19.226406146431
2004/07/03,326000,349920,-10.978705945938,-22.0223817355114
2004/07/10,345000,444531,-5.35085727950576,-21.9433572800666
2004/07/17,355000,394372,-8.59800870717465,-18.8643328667362
2004/07/24,348000,313225,-7.50837847541663,-26.3496830654216
2004/07/31,341000,282128,-7.90241212184859,-29.5237114325052
2004/08/07,336000,291611,-9.29644574414418,-17.1263115136646
2004/08/14,332000,262936,-9.83333652229195,-19.5860543023725
2004/08/21,343000,274433,-10.6559415557124,-17.4743684666804
