date,debt,loan,job,unemployment,economics,inflation,sell,bonds,gold,stocks,dow jones,crisis,finance,risk,leverage
2020-01-03,73,68,82,4,60,68,94,71,61,28,14,31,62,40,55
2020-01-04,56,60,73,2,62,65,98,53,63,19,3,33,38,34,50
2020-01-05,51,54,72,5,63,51,96,52,63,18,1,34,31,32,43
2020-01-06,76,71,98,7,80,73,92,61,70,25,12,39,65,49,57
2020-01-07,78,67,92,5,88,68,90,69,66,26,12,40,63,48,56
2020-01-08,77,66,96,5,84,73,88,60,69,27,14,43,63,50,52
2020-01-09,71,64,96,4,92,79,91,68,66,24,12,37,61,49,51
2020-01-10,78,67,89,4,80,64,83,63,63,25,12,36,62,46,55
2020-01-11,52,56,72,3,54,50,97,47,66,18,3,32,35,31,44
2020-01-12,56,53,72,5,73,49,96,48,59,17,1,37,30,36,36
2020-01-13,74,66,93,6,91,77,87,62,58,26,10,39,59,49,55
2020-01-14,81,66,93,5,92,100,89,63,56,26,12,50,61,50,56
2020-01-15,88,64,92,5,89,93,82,67,57,26,12,100,60,53,50
2020-01-16,79,64,93,4,88,79,85,67,58,28,13,65,63,53,56
2020-01-17,78,60,82,4,79,70,87,67,57,25,13,47,60,43,52
2020-01-18,52,58,76,3,66,50,95,53,61,18,3,43,37,31,34
2020-01-19,55,48,73,4,63,57,90,52,56,16,1,39,29,31,40
2020-01-20,66,62,91,5,78,79,92,64,57,19,6,42,54,49,46
2020-01-21,80,67,98,6,97,88,86,74,55,24,11,42,64,54,49
2020-01-22,80,64,96,5,94,80,87,76,55,24,11,37,65,54,66
2020-01-23,81,64,96,5,90,87,82,70,52,26,11,38,61,54,56
2020-01-24,82,63,85,5,80,72,83,64,56,24,11,34,60,50,60
2020-01-25,57,54,72,3,60,52,97,51,59,16,3,29,35,34,45
2020-01-26,52,46,69,5,63,60,88,47,53,16,1,30,29,35,47
2020-01-27,75,64,89,6,91,71,87,69,54,24,14,33,61,53,50
2020-01-28,88,67,100,5,100,83,82,68,53,25,15,36,63,58,45
2020-01-29,82,63,94,5,89,80,80,72,53,24,13,33,62,57,47
2020-01-30,85,64,92,4,91,85,86,72,51,26,13,38,67,54,60
2020-01-31,75,64,85,4,84,70,81,72,53,26,15,31,64,48,41
2020-02-01,58,58,71,3,61,53,91,53,59,19,4,25,44,32,38
2020-02-02,51,51,70,5,65,62,93,59,55,18,1,28,32,34,42
2020-02-03,74,63,91,6,92,77,84,100,55,25,14,34,67,51,43
2020-02-04,82,65,92,5,98,77,86,89,55,31,14,34,71,55,46
2020-02-05,86,64,92,5,98,90,87,74,54,31,15,36,70,54,54
2020-02-06,84,63,95,4,92,89,83,78,54,30,15,35,71,57,58
2020-02-07,74,64,85,4,74,69,85,65,55,28,13,31,64,50,59
2020-02-08,62,59,69,3,59,65,91,51,56,18,3,27,36,36,43
2020-02-09,57,51,70,5,78,65,91,54,55,17,1,30,32,36,39
2020-02-10,85,64,89,6,89,84,83,67,53,25,11,36,65,53,49
2020-02-11,89,67,93,5,90,89,87,70,53,28,12,34,68,56,48
2020-02-12,85,64,93,4,88,87,86,81,52,27,13,33,66,59,60
2020-02-13,86,65,90,4,93,85,86,73,56,28,13,36,69,58,57
2020-02-14,78,56,79,3,68,67,82,63,53,24,12,32,66,48,53
2020-02-15,60,60,67,2,57,59,94,43,57,18,3,27,38,37,34
2020-02-16,60,55,70,4,68,68,94,51,55,18,1,29,32,40,45
2020-02-17,78,63,89,5,80,67,87,64,53,20,6,35,61,52,52
2020-02-18,81,67,98,5,83,95,89,74,55,26,11,35,66,55,62
2020-02-19,82,63,94,4,91,97,89,80,56,28,11,39,69,56,73
2020-02-20,85,64,95,4,90,77,86,73,57,29,13,36,69,58,63
2020-02-21,75,64,81,4,76,76,87,62,63,28,12,33,65,52,46
2020-02-22,62,58,69,2,56,61,92,51,70,19,3,28,39,41,41
2020-02-23,56,54,74,5,72,69,89,54,62,18,1,31,32,41,42
2020-02-24,81,66,92,6,87,79,89,69,67,36,26,36,74,65,63
2020-02-25,87,64,94,5,97,78,91,73,68,38,34,37,79,63,67
2020-02-26,87,65,89,4,95,86,83,77,62,37,35,37,77,61,62
2020-02-27,82,63,89,4,87,78,89,82,61,44,45,37,81,65,63
2020-02-28,76,63,81,4,76,78,86,69,64,61,60,37,87,55,62
2020-02-29,61,60,69,2,65,58,92,54,67,32,11,29,44,44,47
2020-03-01,57,55,70,4,66,63,91,56,60,26,5,30,34,43,41
2020-03-02,82,68,92,5,95,81,87,97,63,41,45,40,85,68,57
2020-03-03,78,69,90,4,92,86,85,87,60,39,45,40,84,69,76
2020-03-04,80,66,88,4,100,88,84,75,60,37,39,40,80,67,49
2020-03-05,83,67,88,4,93,77,85,74,60,39,41,40,79,68,61
2020-03-06,83,68,80,3,79,76,86,73,66,42,43,39,77,60,42
2020-03-07,62,61,66,2,67,47,86,56,63,26,8,34,40,45,44
2020-03-08,55,55,68,4,64,60,87,58,58,24,5,35,34,46,43
2020-03-09,81,66,82,6,88,85,87,87,71,77,77,44,100,72,75
2020-03-10,82,62,79,4,90,77,87,82,61,65,72,51,86,72,54
2020-03-11,75,64,81,4,88,82,82,72,61,56,67,49,85,75,68
2020-03-12,70,60,77,5,95,74,81,77,66,100,100,58,100,86,67
2020-03-13,76,66,68,6,79,57,79,62,78,96,96,56,96,76,61
2020-03-14,54,58,61,5,65,60,83,53,74,53,17,48,45,61,49
2020-03-15,56,59,60,9,64,65,90,54,70,46,10,52,38,70,38
2020-03-16,71,72,70,25,80,74,79,65,80,85,94,63,97,97,58
2020-03-17,78,68,73,34,72,69,81,61,94,81,88,70,94,100,57
2020-03-18,80,71,72,41,72,76,81,70,100,88,89,75,99,86,53
2020-03-19,78,69,70,41,62,67,77,67,94,83,83,76,93,83,63
2020-03-20,75,73,66,46,54,68,78,60,82,81,68,68,91,76,52
2020-03-21,60,63,59,32,56,68,86,50,73,55,16,64,42,65,54
2020-03-22,62,56,60,33,46,71,82,51,66,48,9,66,36,94,51
